tiledgemm_ui3_uk1_uj6 greedy 3 1 6 4.54231	tiledgemm_ui3_uk1_uj6 10	tiledgemm_ui3_uk1_uj6 16	max_reg 27
tiledgemm_ui3_uk2_uj1 greedy 3 2 1 3.59392	tiledgemm_ui3_uk2_uj1 0	tiledgemm_ui3_uk2_uj1 11	max_reg 11
tiledgemm_ui3_uk2_uj2 greedy 3 2 2 5.73235	tiledgemm_ui3_uk2_uj2 0	tiledgemm_ui3_uk2_uj2 16	max_reg 16
tiledgemm_ui3_uk2_uj3 greedy 3 2 3 7.5419	tiledgemm_ui3_uk2_uj3 0	tiledgemm_ui3_uk2_uj3 14	max_reg 21
tiledgemm_ui3_uk2_uj4 greedy 3 2 4 4.14003	tiledgemm_ui3_uk2_uj4 9	tiledgemm_ui3_uk2_uj4 16	max_reg 26
tiledgemm_ui3_uk2_uj5 greedy 3 2 5 4.51727	tiledgemm_ui3_uk2_uj5 10	tiledgemm_ui3_uk2_uj5 16	max_reg 31
tiledgemm_ui3_uk3_uj1 greedy 3 3 1 3.89934	tiledgemm_ui3_uk3_uj1 0	tiledgemm_ui3_uk3_uj1 15	max_reg 15
tiledgemm_ui3_uk3_uj2 greedy 3 3 2 5.68235	tiledgemm_ui3_uk3_uj2 0	tiledgemm_ui3_uk3_uj2 11	max_reg 21
tiledgemm_ui3_uk3_uj3 greedy 3 3 3 7.48881	tiledgemm_ui3_uk3_uj3 0	tiledgemm_ui3_uk3_uj3 15	max_reg 27
tiledgemm_ui3_uk4_uj1 greedy 3 4 1 4.08442	tiledgemm_ui3_uk4_uj1 0	tiledgemm_ui3_uk4_uj1 7	max_reg 19
tiledgemm_ui3_uk4_uj2 greedy 3 4 2 5.92736	tiledgemm_ui3_uk4_uj2 0	tiledgemm_ui3_uk4_uj2 11	max_reg 26
tiledgemm_ui3_uk5_uj1 greedy 3 5 1 4.25755	tiledgemm_ui3_uk5_uj1 0	tiledgemm_ui3_uk5_uj1 8	max_reg 23
tiledgemm_ui3_uk5_uj2 greedy 3 5 2 7.10266	tiledgemm_ui3_uk5_uj2 0	tiledgemm_ui3_uk5_uj2 14	max_reg 31
tiledgemm_ui3_uk6_uj1 greedy 3 6 1 4.33225	tiledgemm_ui3_uk6_uj1 0	tiledgemm_ui3_uk6_uj1 9	max_reg 27
tiledgemm_ui4_uk1_uj1 greedy 4 1 1 4.72652	tiledgemm_ui4_uk1_uj1 0	tiledgemm_ui4_uk1_uj1 9	max_reg 9
tiledgemm_ui4_uk1_uj2 greedy 4 1 2 6.27836	tiledgemm_ui4_uk1_uj2 0	tiledgemm_ui4_uk1_uj2 14	max_reg 14
tiledgemm_ui4_uk1_uj3 greedy 4 1 3 6.38748	tiledgemm_ui4_uk1_uj3 0	tiledgemm_ui4_uk1_uj3 16	max_reg 19
tiledgemm_ui4_uk1_uj4 greedy 4 1 4 5.39917	tiledgemm_ui4_uk1_uj4 6	tiledgemm_ui4_uk1_uj4 16	max_reg 24
tiledgemm_ui4_uk1_uj5 greedy 4 1 5 3.77804	tiledgemm_ui4_uk1_uj5 11	tiledgemm_ui4_uk1_uj5 16	max_reg 29
tiledgemm_ui4_uk2_uj1 greedy 4 2 1 4.5265	tiledgemm_ui4_uk2_uj1 0	tiledgemm_ui4_uk2_uj1 14	max_reg 14
tiledgemm_ui4_uk2_uj2 greedy 4 2 2 5.61177	tiledgemm_ui4_uk2_uj2 0	tiledgemm_ui4_uk2_uj2 12	max_reg 20
tiledgemm_ui4_uk2_uj3 greedy 4 2 3 4.9589	tiledgemm_ui4_uk2_uj3 10	tiledgemm_ui4_uk2_uj3 16	max_reg 26
tiledgemm_ui4_uk2_uj4 greedy 4 2 4 4.49256	tiledgemm_ui4_uk2_uj4 14	tiledgemm_ui4_uk2_uj4 16	max_reg 32
tiledgemm_ui4_uk3_uj1 greedy 4 3 1 4.18937	tiledgemm_ui4_uk3_uj1 0	tiledgemm_ui4_uk3_uj1 10	max_reg 19
tiledgemm_ui4_uk3_uj2 greedy 4 3 2 5.84142	tiledgemm_ui4_uk3_uj2 0	tiledgemm_ui4_uk3_uj2 12	max_reg 26
tiledgemm_ui4_uk4_uj1 greedy 4 4 1 5.01787	tiledgemm_ui4_uk4_uj1 0	tiledgemm_ui4_uk4_uj1 10	max_reg 24
tiledgemm_ui4_uk4_uj2 greedy 4 4 2 7.18433	tiledgemm_ui4_uk4_uj2 0	tiledgemm_ui4_uk4_uj2 13	max_reg 32
tiledgemm_ui4_uk5_uj1 greedy 4 5 1 4.98122	tiledgemm_ui4_uk5_uj1 0	tiledgemm_ui4_uk5_uj1 11	max_reg 29
tiledgemm_ui5_uk1_uj1 greedy 5 1 1 5.76373	tiledgemm_ui5_uk1_uj1 0	tiledgemm_ui5_uk1_uj1 11	max_reg 11
tiledgemm_ui5_uk1_uj2 greedy 5 1 2 5.80174	tiledgemm_ui5_uk1_uj2 0	tiledgemm_ui5_uk1_uj2 15	max_reg 17
tiledgemm_ui5_uk1_uj3 greedy 5 1 3 5.72851	tiledgemm_ui5_uk1_uj3 4	tiledgemm_ui5_uk1_uj3 16	max_reg 23
tiledgemm_ui5_uk1_uj4 greedy 5 1 4 4.99878	tiledgemm_ui5_uk1_uj4 10	tiledgemm_ui5_uk1_uj4 16	max_reg 29
tiledgemm_ui5_uk2_uj1 greedy 5 2 1 4.21635	tiledgemm_ui5_uk2_uj1 0	tiledgemm_ui5_uk2_uj1 11	max_reg 17
tiledgemm_ui5_uk2_uj2 greedy 5 2 2 6.85815	tiledgemm_ui5_uk2_uj2 0	tiledgemm_ui5_uk2_uj2 16	max_reg 24
tiledgemm_ui5_uk2_uj3 greedy 5 2 3 5.80998	tiledgemm_ui5_uk2_uj3 9	tiledgemm_ui5_uk2_uj3 16	max_reg 31
tiledgemm_ui5_uk3_uj1 greedy 5 3 1 5.11161	tiledgemm_ui5_uk3_uj1 0	tiledgemm_ui5_uk3_uj1 11	max_reg 23
tiledgemm_ui5_uk3_uj2 greedy 5 3 2 5.73571	tiledgemm_ui5_uk3_uj2 1	tiledgemm_ui5_uk3_uj2 16	max_reg 31
tiledgemm_ui5_uk4_uj1 greedy 5 4 1 5.33325	tiledgemm_ui5_uk4_uj1 0	tiledgemm_ui5_uk4_uj1 11	max_reg 29
tiledgemm_ui6_uk1_uj1 greedy 6 1 1 5.946	tiledgemm_ui6_uk1_uj1 0	tiledgemm_ui6_uk1_uj1 13	max_reg 13
tiledgemm_ui6_uk1_uj2 greedy 6 1 2 5.9574	tiledgemm_ui6_uk1_uj2 0	tiledgemm_ui6_uk1_uj2 16	max_reg 20
tiledgemm_ui6_uk1_uj3 greedy 6 1 3 4.38238	tiledgemm_ui6_uk1_uj3 7	tiledgemm_ui6_uk1_uj3 16	max_reg 27
tiledgemm_ui6_uk2_uj1 greedy 6 2 1 4.20304	tiledgemm_ui6_uk2_uj1 0	tiledgemm_ui6_uk2_uj1 13	max_reg 20
tiledgemm_ui6_uk2_uj2 greedy 6 2 2 6.19978	tiledgemm_ui6_uk2_uj2 2	tiledgemm_ui6_uk2_uj2 16	max_reg 28
tiledgemm_ui6_uk3_uj1 greedy 6 3 1 5.1276	tiledgemm_ui6_uk3_uj1 0	tiledgemm_ui6_uk3_uj1 14	max_reg 27
