k_11x1x3 icc 11 1 3 16.648238	k_11x1x3.icc 14	k_11x1x3.icc 32	k_11x1x3 icc 11 1 3 16.864686	k_11x1x3.icc 14	k_11x1x3.icc 32
k_11x1x4 icc 11 1 4 14.767331	k_11x1x4.icc 25	k_11x1x4.icc 32	k_11x1x4 icc 11 1 4 14.969872	k_11x1x4.icc 25	k_11x1x4.icc 32
k_11x2x1 icc 11 2 1 20.483294	k_11x2x1.icc 0	k_11x2x1.icc 13	k_11x2x1 icc 11 2 1 18.778135	k_11x2x1.icc 0	k_11x2x1.icc 13
k_11x2x2 icc 11 2 2 19.363145	k_11x2x2.icc 15	k_11x2x2.icc 32	k_11x2x2 icc 11 2 2 17.708120	k_11x2x2.icc 15	k_11x2x2.icc 32
k_11x2x3 icc 11 2 3 18.179662	k_11x2x3.icc 26	k_11x2x3.icc 32	k_11x2x3 icc 11 2 3 17.568828	k_11x2x3.icc 26	k_11x2x3.icc 32
k_11x3x1 icc 11 3 1 20.046994	k_11x3x1.icc 0	k_11x3x1.icc 14	k_11x3x1 icc 11 3 1 18.843525	k_11x3x1.icc 0	k_11x3x1.icc 14
k_11x3x2 icc 11 3 2 16.644804	k_11x3x2.icc 29	k_11x3x2.icc 32	k_11x3x2 icc 11 3 2 16.058221	k_11x3x2.icc 29	k_11x3x2.icc 32
k_11x4x1 icc 11 4 1 19.313248	k_11x4x1.icc 0	k_11x4x1.icc 15	k_11x4x1 icc 11 4 1 17.422367	k_11x4x1.icc 0	k_11x4x1.icc 15
k_12x1x1 icc 12 1 1 19.150905	k_12x1x1.icc 0	k_12x1x1.icc 13	k_12x1x1 icc 12 1 1 17.871689	k_12x1x1.icc 0	k_12x1x1.icc 13
k_12x1x2 icc 12 1 2 20.878892	k_12x1x2.icc 6	k_12x1x2.icc 32	k_12x1x2 icc 12 1 2 20.394113	k_12x1x2.icc 6	k_12x1x2.icc 32
k_12x1x3 icc 12 1 3 15.140429	k_12x1x3.icc 18	k_12x1x3.icc 32	k_12x1x3 icc 12 1 3 15.672843	k_12x1x3.icc 18	k_12x1x3.icc 32
k_12x1x4 icc 12 1 4 13.340222	k_12x1x4.icc 30	k_12x1x4.icc 32	k_12x1x4 icc 12 1 4 14.006596	k_12x1x4.icc 30	k_12x1x4.icc 32
k_12x2x1 icc 12 2 1 20.803189	k_12x2x1.icc 0	k_12x2x1.icc 14	k_12x2x1 icc 12 2 1 18.714021	k_12x2x1.icc 0	k_12x2x1.icc 14
k_12x2x2 icc 12 2 2 18.236092	k_12x2x2.icc 19	k_12x2x2.icc 32	k_12x2x2 icc 12 2 2 16.945078	k_12x2x2.icc 19	k_12x2x2.icc 32
k_12x3x1 icc 12 3 1 21.196833	k_12x3x1.icc 0	k_12x3x1.icc 15	k_12x3x1 icc 12 3 1 19.152964	k_12x3x1.icc 0	k_12x3x1.icc 15
k_12x4x1 icc 12 4 1 19.648336	k_12x4x1.icc 0	k_12x4x1.icc 16	k_12x4x1 icc 12 4 1 17.580905	k_12x4x1.icc 0	k_12x4x1.icc 16
k_13x1x1 icc 13 1 1 18.640068	k_13x1x1.icc 0	k_13x1x1.icc 14	k_13x1x1 icc 13 1 1 19.516262	k_13x1x1.icc 0	k_13x1x1.icc 14
k_13x1x2 icc 13 1 2 19.174743	k_13x1x2.icc 9	k_13x1x2.icc 32	k_13x1x2 icc 13 1 2 18.981271	k_13x1x2.icc 9	k_13x1x2.icc 32
